srcname,cpe_vendor,cpe_product,cpe_edition,cpe_lang,cpe_sw_edition,cpe_target_sw,cpe_target_hw,cpe_other
databases/php82-pdo_mysql,php_group,php,*,*,*,*,*,*
databases/php82-pdo_odbc,php,php,*,*,*,*,*,*
databases/php82-pdo_odbc,php_group,php,*,*,*,*,*,*
databases/php82-pdo_pgsql,php,php,*,*,*,*,*,*
databases/php82-pdo_pgsql,php_group,php,*,*,*,*,*,*
databases/php82-pdo_sqlite,php,php,*,*,*,*,*,*
databases/php82-pdo_sqlite,php_group,php,*,*,*,*,*,*
databases/php82-pgsql,php,php,*,*,*,*,*,*
databases/php82-pgsql,php_group,php,*,*,*,*,*,*
databases/php82-sqlite3,php,php,*,*,*,*,*,*
databases/php82-sqlite3,php_group,php,*,*,*,*,*,*
databases/phpliteadmin,phpliteadmin,phpliteadmin,*,*,*,*,*,*
databases/phpmyadmin,phpmyadmin,phpmyadmin,*,*,*,*,*,*
databases/phpmyadmin5,phpmyadmin,phpmyadmin,*,*,*,*,*,*
databases/phppgadmin,phppgadmin,phppgadmin,*,*,*,*,*,*
databases/phppgadmin,phppgadmin_project,phppgadmin,*,*,*,*,*,*
databases/postgis30,postgis,postgis,*,*,*,*,*,*
databases/postgis31,postgis,postgis,*,*,*,*,*,*
databases/postgis32,postgis,postgis,*,*,*,*,*,*
databases/postgresql-jdbc,postgresql,postgresql_jdbc_driver,*,*,*,*,*,*
databases/postgresql10-client,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql10-contrib,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql10-docs,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql10-plperl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql10-plpython,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql10-pltcl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql10-server,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql11-client,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql11-contrib,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql11-docs,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql11-plperl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql11-plpython,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql11-pltcl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql11-server,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql12-client,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql12-contrib,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql12-docs,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql12-plperl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql12-plpython,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql12-pltcl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql12-server,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql13-client,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql13-contrib,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql13-docs,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql13-plperl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql13-plpython,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql13-pltcl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql13-server,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql14-client,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql14-contrib,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql14-docs,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql14-plperl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql14-plpython,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql14-pltcl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql14-server,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql15-client,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql15-contrib,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql15-docs,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql15-plperl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql15-plpython,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql15-pltcl,postgresql,postgresql,*,*,*,*,*,*
databases/postgresql15-server,postgresql,postgresql,*,*,*,*,*,*
databases/puppetdb6,puppet,puppetdb,*,*,*,*,*,*
databases/py-asyncpg,magic,asyncpg,*,*,*,*,*,*
databases/py-lmdb,py-lmdb_project,py-lmdb,*,*,*,*,*,*
databases/py-sqlalchemy10,sqlalchemy,sqlalchemy,*,*,*,*,*,*
databases/py-sqlalchemy11,sqlalchemy,sqlalchemy,*,*,*,*,*,*
databases/py-sqlalchemy12,sqlalchemy,sqlalchemy,*,*,*,*,*,*
databases/py-sqlalchemy13,sqlalchemy,sqlalchemy,*,*,*,*,*,*
databases/py-sqlalchemy14,sqlalchemy,sqlalchemy,*,*,*,*,*,*
databases/py-sqlite3,python,python,*,*,*,*,*,*
databases/py-sqlite3,python_software_foundation,python,*,*,*,*,*,*
databases/py-sqlparse,sqlparse_project,sqlparse,*,*,*,*,*,*
databases/qt5-sql,digia,qt,*,*,*,*,*,*
databases/qt5-sql,qt,qt,*,*,*,*,*,*
databases/qt5-sql,qt,qtsvg,*,*,*,*,*,*
databases/qt5-sqldrivers-ibase,digia,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-ibase,qt,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-ibase,qt,qtsvg,*,*,*,*,*,*
databases/qt5-sqldrivers-mysql,digia,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-mysql,qt,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-mysql,qt,qtsvg,*,*,*,*,*,*
databases/qt5-sqldrivers-odbc,digia,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-odbc,qt,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-odbc,qt,qtsvg,*,*,*,*,*,*
databases/qt5-sqldrivers-pgsql,digia,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-pgsql,qt,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-pgsql,qt,qtsvg,*,*,*,*,*,*
databases/qt5-sqldrivers-sqlite2,digia,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-sqlite2,qt,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-sqlite2,qt,qtsvg,*,*,*,*,*,*
databases/qt5-sqldrivers-sqlite3,digia,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-sqlite3,qt,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-sqlite3,qt,qtsvg,*,*,*,*,*,*
databases/qt5-sqldrivers-tds,digia,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-tds,qt,qt,*,*,*,*,*,*
databases/qt5-sqldrivers-tds,qt,qtsvg,*,*,*,*,*,*
databases/recutils,gnu,recutils,*,*,*,*,*,*
databases/redis,redis,redis,*,*,*,*,*,*
databases/redis,redislabs,redis,*,*,*,*,*,*
databases/rrdtool,rrdtool_project,rrdtool,*,*,*,*,*,*
databases/rrdtool12,rrdtool_project,rrdtool,*,*,*,*,*,*
databases/rubygem-activerecord-session_store,rubyonrails,active_record_session_store,*,*,*,*,*,*
databases/sqlcipher,zetetic,sqlcipher,*,*,*,*,*,*
databases/sqlite2,sqlite,sqlite,*,*,*,*,*,*
databases/sqlite3,sqlite,sqlite,*,*,*,*,*,*
databases/sqliteodbc,sqliteodbc_project,sqliteodbc,*,*,*,*,*,*
databases/tarantool,tarantool,tarantool,*,*,*,*,*,*
databases/tcl-sqlite3,sqlite,sqlite,*,*,*,*,*,*
databases/timescaledb,timescale,timescaledb,*,*,*,*,*,*
databases/unixODBC,unixodbc,unixodbc,*,*,*,*,*,*
databases/vfront,vfront,vfront,*,*,*,*,*,*
databases/xapian-core,xapian,xapian-core,*,*,*,*,*,*
databases/xapian-core12,xapian,xapian-core,*,*,*,*,*,*
databases/xtrabackup,percona,xtrabackup,*,*,*,*,*,*
databases/xtrabackup8,percona,xtrabackup,*,*,*,*,*,*
deskutils/calibre,calibre-ebook,calibre,*,*,*,*,*,*
deskutils/egroupware,egroupware,egroupware,*,*,*,*,*,*
deskutils/kdeconnect-kde,kde,kdeconnect,*,*,*,*,*,*
deskutils/kmail,kde,kmail,*,*,*,*,*,*
deskutils/kmail,kmail,kmail,*,*,*,*,*,*
deskutils/nextcloudclient,nextcloud,desktop,*,*,*,*,*,*
deskutils/spice-gtk,spice-gtk_project,spice-gtk,*,*,*,*,*,*
deskutils/zim,zim-wiki,zim,*,*,*,*,*,*
devel/aarch64-none-elf-gcc,gnu,gcc,*,*,*,*,*,*
devel/android-tools,google,android_debug_bridge,*,*,*,*,*,*
devel/android-tools-simpleperf,google,android_debug_bridge,*,*,*,*,*,*
devel/apache-ant,apache,ant,*,*,*,*,*,*
devel/apache-commons-configuration,apache,commons_configuration,*,*,*,*,*,*
devel/apache-log4j2,apache,log4j,*,*,*,*,*,*
devel/apr1,apache,portable_runtime,*,*,*,*,*,*
devel/arm-elf-binutils,gnu,binutils,*,*,*,*,*,*
devel/arm-none-eabi-gcc,gnu,gcc,*,*,*,*,*,*
devel/arm-none-eabi-gcc492,gnu,gcc,*,*,*,*,*,*
devel/artifactory,jfrog,artifactory,*,*,*,*,*,*
devel/automake,gnu,automake,*,*,*,*,*,*
devel/avr-gcc,gnu,gcc,*,*,*,*,*,*
devel/avro,apache,avro,*,*,*,*,*,*
devel/avro-c,apache,avro,*,*,*,*,*,*
devel/avro-cpp,apache,avro,*,*,*,*,*,*
devel/binaryen,webassembly,binaryen,*,*,*,*,*,*
devel/bingrep,bingrep_project,bingrep,*,*,*,*,*,*
devel/binutils,gnu,binutils,*,*,*,*,*,*
devel/bison,gnu,bison,*,*,*,*,*,*
devel/boehm-gc,bdwgc_project,bdwgc,*,*,*,*,*,*
devel/boehm-gc,boehm-demers-weiser,garbage_collector,*,*,*,*,*,*
devel/boehm-gc-redirect,bdwgc_project,bdwgc,*,*,*,*,*,*
devel/boehm-gc-redirect,boehm-demers-weiser,garbage_collector,*,*,*,*,*,*
devel/boehm-gc-threaded,bdwgc_project,bdwgc,*,*,*,*,*,*
devel/boehm-gc-threaded,boehm-demers-weiser,garbage_collector,*,*,*,*,*,*
devel/boost-all,boost,boost,*,*,*,*,*,*
devel/boost-docs,boost,boost,*,*,*,*,*,*
devel/boost-jam,boost,boost,*,*,*,*,*,*
devel/boost-libs,boost,boost,*,*,*,*,*,*
devel/boost-python-libs,boost,boost,*,*,*,*,*,*
devel/bugzilla44,mozilla,bugzilla,*,*,*,*,*,*
devel/bugzilla50,mozilla,bugzilla,*,*,*,*,*,*
devel/capnproto,capnproto,capnproto,*,*,*,*,*,*
devel/cgit,cgit_project,cgit,*,*,*,*,*,*
devel/cgit,jason_a_donenfeld,cgit,*,*,*,*,*,*
devel/cgit,lars_hjemli,cgit,*,*,*,*,*,*
devel/cmake,cmake_project,cmake,*,*,*,*,*,*
devel/cmake-doc,cmake_project,cmake,*,*,*,*,*,*
devel/cmake-gui,cmake_project,cmake,*,*,*,*,*,*
devel/cscope,cscope,cscope,*,*,*,*,*,*
devel/cvs,cvs,cvs,*,*,*,*,*,*
devel/cvs-devel,cvs,cvs,*,*,*,*,*,*
devel/dbus,freedesktop,dbus,*,*,*,*,*,*
devel/dbus-glib,freedesktop,dbus-glib,*,*,*,*,*,*
devel/distcc,distcc,distcc,*,*,*,*,*,*
devel/doxygen,doxygen,doxygen,*,*,*,*,*,*
devel/electron13,electronjs,electron,*,*,*,*,*,*
devel/electron17,electronjs,electron,*,*,*,*,*,*
devel/elfutils,elfutils_project,elfutils,*,*,*,*,*,*
devel/etcd,etcd,etcd,*,*,*,*,*,*
devel/etcd,redhat,etcd,*,*,*,*,*,*
devel/etcd31,etcd,etcd,*,*,*,*,*,*
devel/etcd31,redhat,etcd,*,*,*,*,*,*
devel/etcd32,etcd,etcd,*,*,*,*,*,*
devel/etcd32,redhat,etcd,*,*,*,*,*,*
devel/etcd33,etcd,etcd,*,*,*,*,*,*
devel/etcd33,redhat,etcd,*,*,*,*,*,*
devel/etcd34,etcd,etcd,*,*,*,*,*,*
devel/etcd34,redhat,etcd,*,*,*,*,*,*
devel/evdev-proto,linux,linux_kernel,*,*,*,*,*,*
devel/fbthrift,facebook,thrift,*,*,*,*,*,*
devel/flyspray,flyspray,flyspray,*,*,*,*,*,*
devel/folly,facebook,folly,*,*,*,*,*,*
devel/fossil,fossil-scm,fossil,*,*,*,*,*,*
devel/fossil,fossil_scm,fossil,*,*,*,*,*,*
devel/freebsd-gcc6,gnu,gcc,*,*,*,*,*,*
devel/freebsd-gcc9,gnu,gcc,*,*,*,*,*,*
devel/gconf2,gnome,gconf,*,*,*,*,*,*
devel/gdb,gnu,gdb,*,*,*,*,*,*
devel/gettext,gnu,gettext,*,*,*,*,*,*
devel/gettext-po-mode,gnu,gettext,*,*,*,*,*,*
devel/gettext-runtime,gnu,gettext,*,*,*,*,*,*
devel/gettext-tools,gnu,gettext,*,*,*,*,*,*
devel/ghidra,nsa,ghidra,*,*,*,*,*,*
devel/git,git,git,*,*,*,*,*,*
devel/git,git-scm,git,*,*,*,*,*,*
devel/git,git_project,git,*,*,*,*,*,*
devel/git-bug,git-bug_project,git-bug,*,*,*,*,*,*
devel/git-gui,git,git,*,*,*,*,*,*
devel/git-gui,git-scm,git,*,*,*,*,*,*
devel/git-gui,git_project,git,*,*,*,*,*,*
devel/git-lfs,git_large_file_storage_project,git_large_file_storage,*,*,*,*,*,*
devel/git-svn,git,git,*,*,*,*,*,*
devel/git-svn,git-scm,git,*,*,*,*,*,*
devel/git-svn,git_project,git,*,*,*,*,*,*
devel/gitaly,gitlab,gitaly,*,*,*,*,*,*
devel/gitlab-runner,gitlab,runner,*,*,*,*,*,*
devel/gitlist,gitlist,gitlist,*,*,*,*,*,*
devel/gitolite,gitolite,gitolite,*,*,*,*,*,*
devel/gitolite,sitaram_chamarty,gitolite,*,*,*,*,*,*
devel/gitolite2,gitolite,gitolite,*,*,*,*,*,*
devel/gitolite2,sitaram_chamarty,gitolite,*,*,*,*,*,*
devel/glib20,gnome,glib,*,*,*,*,*,*
devel/gmake,gnu,make,*,*,*,*,*,*
devel/gnucflow,gnu,cflow,*,*,*,*,*,*
devel/gnulib,gnu,gnulib,*,*,*,*,*,*
devel/gnulib,gnulib,gnulib,*,*,*,*,*,*
devel/godot,godotengine,godot,*,*,*,*,*,*
devel/godot,godotengine,godot_engine,*,*,*,*,*,*
devel/godot-tools,godotengine,godot,*,*,*,*,*,*
devel/godot-tools,godotengine,godot_engine,*,*,*,*,*,*
devel/godot2,godotengine,godot,*,*,*,*,*,*
devel/godot2,godotengine,godot_engine,*,*,*,*,*,*
devel/godot2-tools,godotengine,godot,*,*,*,*,*,*
devel/godot2-tools,godotengine,godot_engine,*,*,*,*,*,*
devel/gogs,gogits,gogs,*,*,*,*,*,*
devel/gogs,gogs,gogs,*,*,*,*,*,*
devel/gradle,gradle,gradle,*,*,*,*,*,*
devel/gradle5,gradle,gradle,*,*,*,*,*,*
devel/gradle6,gradle,gradle,*,*,*,*,*,*
devel/gradle62,gradle,gradle,*,*,*,*,*,*
devel/grpc,grpc,grpc,*,*,*,*,*,*
devel/gsoap,genivia,gsoap,*,*,*,*,*,*
devel/gvfs,gnome,gvfs,*,*,*,*,*,*
devel/icu,icu-project,international_components_for_unicode,*,*,*,*,*,*
devel/icu-lx,icu-project,international_components_for_unicode,*,*,*,*,*,*
devel/ipython,ipython,ipython,*,*,*,*,*,*
devel/itext,itextpdf,itext,*,*,*,*,*,*
devel/jansson,jansson_project,jansson,*,*,*,*,*,*
devel/jenkins,jenkins,jenkins,*,*,*,*,*,*
devel/jenkins-lts,jenkins,jenkins,*,*,*,*,*,*
devel/jetbrains-clion,jetbrains,clion,*,*,*,*,*,*
devel/jetbrains-webstorm,jetbrains,webstorm,*,*,*,*,*,*
devel/json-c,json-c_project,json-c,*,*,*,*,*,*
devel/juce,juce,juce,*,*,*,*,*,*
devel/kf5-kauth,kde,kauth,*,*,*,*,*,*
devel/kf5-kconfig,kde,kconfig,*,*,*,*,*,*
devel/kf5-ktexteditor,kde,ktexteditor,*,*,*,*,*,*
devel/kio-extras,kde,kio-extras,*,*,*,*,*,*
devel/kiwix-lib,kiwix,libkiwix,*,*,*,*,*,*
devel/libbson,mongodb,c_driver,*,*,*,*,*,*
devel/libcjson,cjson_project,cjson,*,*,*,*,*,*
devel/libconfuse,libconfuse_project,libconfuse,*,*,*,*,*,*
devel/libdaemon,libdaemon_project,libdaemon,*,*,*,*,*,*
devel/libdwarf,libdwarf_project,libdwarf,*,*,*,*,*,*
devel/libesedb,libesedb_project,libesedb,*,*,*,*,*,*
devel/libestr,adiscon,libestr,*,*,*,*,*,*
devel/libevent,libevent_project,libevent,*,*,*,*,*,*
devel/libevent,niels_provos,libevent,*,*,*,*,*,*
devel/libevt,libevt_project,libevt,*,*,*,*,*,*
devel/libfastjson,rsyslog,libfastjson,*,*,*,*,*,*
devel/libffi,libffi_project,libffi,*,*,*,*,*,*
devel/libffi321,libffi_project,libffi,*,*,*,*,*,*
devel/libffi33,libffi_project,libffi,*,*,*,*,*,*
devel/libfmt,fmt,fmt,*,*,*,*,*,*
devel/libfwsi,libfwsi_project,libfwsi,*,*,*,*,*,*
devel/libgdata,gnome,libgdata,*,*,*,*,*,*
devel/libgit2,libgit2,libgit2,*,*,*,*,*,*
devel/libgit2,libgit2_project,libgit2,*,*,*,*,*,*
devel/libgsf,gnome,libgsf,*,*,*,*,*,*
devel/libgsf,libgsf,libgsf,*,*,*,*,*,*
devel/libical,libical_project,libical,*,*,*,*,*,*
devel/liblas,liblas,liblas,*,*,*,*,*,*
devel/liblas12,liblas,liblas,*,*,*,*,*,*
devel/liblnk,liblnk_project,liblnk,*,*,*,*,*,*
devel/liblogging,adiscon,liblogging,*,*,*,*,*,*
devel/liblouis,liblouis,liblouis,*,*,*,*,*,*
devel/libltdl,gnu,libtool,*,*,*,*,*,*
devel/libosinfo,libosinfo,libosinfo,*,*,*,*,*,*
devel/libpeas,gnome,libpeas,*,*,*,*,*,*
devel/libpff,libpff_project,libpff,*,*,*,*,*,*
devel/libqb,clusterlabs,libqb,*,*,*,*,*,*
devel/librelp,rsyslog,librelp,*,*,*,*,*,*
devel/libsoup,gnome,libsoup,*,*,*,*,*,*
devel/libsoup3,gnome,libsoup,*,*,*,*,*,*
devel/libtextstyle,gnu,gettext,*,*,*,*,*,*
devel/libthai,linux.thai,libthai,*,*,*,*,*,*
devel/libtool,gnu,libtool,*,*,*,*,*,*
devel/libunwind,libunwind_project,libunwind,*,*,*,*,*,*
devel/libuv,libuv,libuv,*,*,*,*,*,*
devel/libuv,libuv_project,libuv,*,*,*,*,*,*
devel/libvirt,libvirt,libvirt,*,*,*,*,*,*
devel/libvirt,redhat,libvirt,*,*,*,*,*,*
devel/libvterm,leonerd,libvterm,*,*,*,*,*,*
devel/libzookeeper,apache,zookeeper,*,*,*,*,*,*
devel/linux-c7-dbus-glib,freedesktop,dbus-glib,*,*,*,*,*,*
devel/linux-c7-dbus-libs,freedesktop,dbus,*,*,*,*,*,*
devel/linux-c7-elfutils-libelf,elfutils_project,elfutils,*,*,*,*,*,*
devel/linux-c7-icu,icu-project,international_components_for_unicode,*,*,*,*,*,*
devel/linux-c7-libgfortran,gnu,gcc,*,*,*,*,*,*
devel/linux-c7-libthai,linux.thai,libthai,*,*,*,*,*,*
devel/linux-c7-libunwind,libunwind_project,libunwind,*,*,*,*,*,*
devel/linux-c7-make,gnu,make,*,*,*,*,*,*
devel/linux-c7-nspr,mozilla,netscape_portable_runtime,*,*,*,*,*,*
devel/linux-c7-qt,digia,qt,*,*,*,*,*,*
devel/linux-c7-qt,qt,qt,*,*,*,*,*,*
devel/linux-c7-qt,qt,qtsvg,*,*,*,*,*,*
devel/linux-c7-sdl12,libsdl,libsdl,*,*,*,*,*,*
devel/linux-c7-sdl12,libsdl,sdl,*,*,*,*,*,*
devel/linux-c7-sdl12,libsdl,simple_directmedia_layer,*,*,*,*,*,*
devel/linux-c7-sdl20,libsdl,libsdl,*,*,*,*,*,*
devel/linux-c7-sdl20,libsdl,sdl,*,*,*,*,*,*
devel/linux-c7-sdl20,libsdl,simple_directmedia_layer,*,*,*,*,*,*
devel/log4j,apache,log4j,*,*,*,*,*,*
devel/log4net,apache,log4net,*,*,*,*,*,*
devel/m4,gnu,m4,*,*,*,*,*,*
devel/maven,apache,maven,*,*,*,*,*,*
devel/mcpp,mcpp_project,mcpp,*,*,*,*,*,*
devel/mercurial,mercurial,mercurial,*,*,*,*,*,*
devel/mingw32-gcc,gnu,gcc,*,*,*,*,*,*
devel/mingw32-libffi,libffi_project,libffi,*,*,*,*,*,*
devel/mingw32-libyaml,pyyaml,libyaml,*,*,*,*,*,*
devel/mingw32-openssl,openssl,openssl,*,*,*,*,*,*
devel/mingw32-zlib,gnu,zlib,*,*,*,*,*,*
devel/mingw32-zlib,zlib,zlib,*,*,*,*,*,*
devel/mongo-c-driver,mongodb,c_driver,*,*,*,*,*,*
devel/msgpuck,tarantool,msgpuck,*,*,*,*,*,*
devel/myrepos,myrepos_project,myrepos,*,*,*,*,*,*
devel/nasm,nasm,netwide_assembler,*,*,*,*,*,*
devel/ncurses,gnu,ncurses,*,*,*,*,*,*
devel/ncurses,ncurses_project,ncurses,*,*,*,*,*,*
devel/nexus2-oss,sonatype,nexus,*,*,*,*,*,*
devel/nspr,mozilla,netscape_portable_runtime,*,*,*,*,*,*
devel/oniguruma,oniguruma_project,oniguruma,*,*,*,*,*,*
devel/opengrok,oracle,opengrok,*,*,*,*,*,*
devel/p5-App-cpanminus,app\:\:cpanminus_project,app\:\:cpanminus,*,*,*,perl,*,*
devel/p5-CPAN-Checksums,cpan\:\:checksums_project,cpan\:\:checksums,*,*,*,perl,*,*
devel/p5-File-Path,file\:\:path_project,file\:\:path,*,*,*,perl,*,*
devel/p5-PathTools,perl,pathtools,*,*,*,*,*,*
devel/p5-Thrift,apache,thrift,*,*,*,*,*,*
devel/p5-subversion,apache,subversion,*,*,*,*,*,*
devel/p5-subversion,subversion,subversion,*,*,*,*,*,*
devel/patch,gnu,patch,*,*,*,*,*,*
devel/pcre,pcre,libpcre,*,*,*,*,*,*
devel/pcre,pcre,pcre,*,*,*,*,*,*
devel/pcre,perl,pcre,*,*,*,*,*,*
devel/pcre2,pcre,pcre,*,*,*,*,*,*
devel/pcre2,pcre,pcre2,*,*,*,*,*,*
devel/pcsc-lite,muscle,pcsc-lite,*,*,*,*,*,*
devel/pecl-grpc,grpc,grpc,*,*,*,*,*,*
devel/php-composer,getcomposer,composer,*,*,*,*,*,*
devel/php-composer2,getcomposer,composer,*,*,*,*,*,*
devel/php-libawl,davical,andrew\'s_web_libraries,*,*,*,*,*,*
devel/php74-ffi,php,php,*,*,*,*,*,*
devel/php74-ffi,php_group,php,*,*,*,*,*,*
devel/php74-gettext,php,php,*,*,*,*,*,*
devel/php74-gettext,php_group,php,*,*,*,*,*,*
devel/php74-intl,php,php,*,*,*,*,*,*
devel/php74-intl,php_group,php,*,*,*,*,*,*
devel/php74-json,php,php,*,*,*,*,*,*
devel/php74-json,php_group,php,*,*,*,*,*,*
devel/php74-pcntl,php,php,*,*,*,*,*,*
devel/php74-pcntl,php_group,php,*,*,*,*,*,*
devel/php74-readline,php,php,*,*,*,*,*,*
devel/php74-readline,php_group,php,*,*,*,*,*,*
devel/php74-shmop,php,php,*,*,*,*,*,*
devel/php74-shmop,php_group,php,*,*,*,*,*,*
devel/php74-sysvmsg,php,php,*,*,*,*,*,*
devel/php74-sysvmsg,php_group,php,*,*,*,*,*,*
devel/php74-sysvsem,php,php,*,*,*,*,*,*
devel/php74-sysvsem,php_group,php,*,*,*,*,*,*
devel/php74-sysvshm,php,php,*,*,*,*,*,*
devel/php74-sysvshm,php_group,php,*,*,*,*,*,*
devel/php74-tokenizer,php,php,*,*,*,*,*,*
devel/php74-tokenizer,php_group,php,*,*,*,*,*,*
devel/php80-ffi,php,php,*,*,*,*,*,*
devel/php80-ffi,php_group,php,*,*,*,*,*,*
devel/php80-gettext,php,php,*,*,*,*,*,*
devel/php80-gettext,php_group,php,*,*,*,*,*,*
devel/php80-intl,php,php,*,*,*,*,*,*
devel/php80-intl,php_group,php,*,*,*,*,*,*
devel/php80-pcntl,php,php,*,*,*,*,*,*
devel/php80-pcntl,php_group,php,*,*,*,*,*,*
devel/php80-readline,php,php,*,*,*,*,*,*
devel/php80-readline,php_group,php,*,*,*,*,*,*
devel/php80-shmop,php,php,*,*,*,*,*,*
devel/php80-shmop,php_group,php,*,*,*,*,*,*
devel/php80-sysvmsg,php,php,*,*,*,*,*,*
devel/php80-sysvmsg,php_group,php,*,*,*,*,*,*
devel/php80-sysvsem,php,php,*,*,*,*,*,*
devel/php80-sysvsem,php_group,php,*,*,*,*,*,*
devel/php80-sysvshm,php,php,*,*,*,*,*,*
devel/php80-sysvshm,php_group,php,*,*,*,*,*,*
devel/php80-tokenizer,php,php,*,*,*,*,*,*
devel/php80-tokenizer,php_group,php,*,*,*,*,*,*
devel/php81-ffi,php,php,*,*,*,*,*,*
devel/php81-ffi,php_group,php,*,*,*,*,*,*
devel/php81-gettext,php,php,*,*,*,*,*,*
devel/php81-gettext,php_group,php,*,*,*,*,*,*
devel/php81-intl,php,php,*,*,*,*,*,*
devel/php81-intl,php_group,php,*,*,*,*,*,*
devel/php81-pcntl,php,php,*,*,*,*,*,*
devel/php81-pcntl,php_group,php,*,*,*,*,*,*
devel/php81-readline,php,php,*,*,*,*,*,*
devel/php81-readline,php_group,php,*,*,*,*,*,*
devel/php81-shmop,php,php,*,*,*,*,*,*
devel/php81-shmop,php_group,php,*,*,*,*,*,*
devel/php81-sysvmsg,php,php,*,*,*,*,*,*
devel/php81-sysvmsg,php_group,php,*,*,*,*,*,*
devel/php81-sysvsem,php,php,*,*,*,*,*,*
devel/php81-sysvsem,php_group,php,*,*,*,*,*,*
devel/php81-sysvshm,php,php,*,*,*,*,*,*
devel/php81-sysvshm,php_group,php,*,*,*,*,*,*
devel/php81-tokenizer,php,php,*,*,*,*,*,*
devel/php81-tokenizer,php_group,php,*,*,*,*,*,*
devel/php82-ffi,php,php,*,*,*,*,*,*
devel/php82-ffi,php_group,php,*,*,*,*,*,*
devel/php82-gettext,php,php,*,*,*,*,*,*
devel/php82-gettext,php_group,php,*,*,*,*,*,*
devel/php82-intl,php,php,*,*,*,*,*,*
devel/php82-intl,php_group,php,*,*,*,*,*,*
devel/php82-pcntl,php,php,*,*,*,*,*,*
devel/php82-pcntl,php_group,php,*,*,*,*,*,*
devel/php82-readline,php,php,*,*,*,*,*,*
devel/php82-readline,php_group,php,*,*,*,*,*,*
devel/php82-shmop,php,php,*,*,*,*,*,*
devel/php82-shmop,php_group,php,*,*,*,*,*,*
devel/php82-sysvmsg,php,php,*,*,*,*,*,*
devel/php82-sysvmsg,php_group,php,*,*,*,*,*,*
devel/php82-sysvsem,php,php,*,*,*,*,*,*
devel/php82-sysvsem,php_group,php,*,*,*,*,*,*
devel/php82-sysvshm,php,php,*,*,*,*,*,*
devel/php82-sysvshm,php_group,php,*,*,*,*,*,*
devel/php82-tokenizer,php,php,*,*,*,*,*,*
devel/php82-tokenizer,php_group,php,*,*,*,*,*,*
devel/phpunit6,phpunit_project,phpunit,*,*,*,*,*,*
devel/phpunit7,phpunit_project,phpunit,*,*,*,*,*,*
devel/phpunit8,phpunit_project,phpunit,*,*,*,*,*,*
devel/phpunit9,phpunit_project,phpunit,*,*,*,*,*,*
devel/pkgconf,pkgconf,pkgconf,*,*,*,*,*,*
